tra_type,nst07,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
OWN,GT11,MIO_TKM,ES	248 	228 	133 	161 	243 	217 	186 	166 	183 	179 	265 	208 	181 	179 	223 
OWN,GT11,MIO_TKM,EU27_2020	5789 	6251 	5514 	6395 	5803 	6939 	6760 	6603 	6460 	6565 	6358 	7013 	7165 	6817 	8709 
OWN,GT11,MIO_TKM,FI	237 	126 	179 	105 	171 	98 	130 	94 	126 	167 	86 	196 	340 	238 	207 
OWN,GT11,MIO_TKM,FR	1298 	1228 	1134 	1412 	1331 	2079 	2258 	2019 	1742 	1905 	1765 	2011 	1633 	1172 	2027 
OWN,GT11,MIO_TKM,HR	58 	58 	67 	41 	45 	34 	50 	49 	61 	53 	70 	58 	62 	49 	87 
OWN,GT11,MIO_TKM,HU	85 	110 	74 	79 	73 	77 	156 	277 	256 	250 	317 	302 	343 	299 	359 
OWN,GT11,MIO_TKM,IE	98 	64 	36 	91 	62 	76 	55 	52 	48 	52 	47 	67 	88 	132 	208 
OWN,GT11,MIO_TKM,IT	173 	105 	88 	87 	89 	176 	192 	199 	236 	285 	235 	335 	426 	354 	324 
OWN,GT11,MIO_TKM,LT	37 	46 	28 	105 	56 	70 	40 	50 	47 	31 	41 	52 	58 	37 	91 
OWN,GT11,MIO_TKM,LU	26 	22 	30 	36 	27 	30 	18 	17 	45 	28 	28 	26 	21 	57 	17 
OWN,GT11,MIO_TKM,LV	61 	81 	68 	51 	69 	60 	58 	61 	50 	52 	55 	37 	48 	64 	47 
OWN,GT11,MIO_TKM,ME	: 	: u	1 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT11,MIO_TKM,MK	: 	: 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT11,MIO_TKM,NL	868 	856 	883 	860 	791 	702 	689 	817 	762 	798 	550 	507 	497 	478 	702 
OWN,GT11,MIO_TKM,NO	158 	154 	155 	74 	126 	111 	195 	146 	230 	161 	163 	230 	120 	148 	180 
OWN,GT11,MIO_TKM,PL	520 	817 	712 	957 	537 	517 	514 	447 	765 	646 	725 	807 	850 	721 	734 
OWN,GT11,MIO_TKM,PT	65 	99 	131 	220 	136 	172 	121 	116 	113 	63 	149 	160 	166 	179 	210 
OWN,GT11,MIO_TKM,RO	359 	414 	284 	572 	451 	488 	244 	248 	240 	311 	315 	309 	321 	603 	514 
OWN,GT11,MIO_TKM,SE	110 	98 	102 	160 	179 	254 	130 	118 	117 	99 	51 	125 	93 	83 	62 
OWN,GT11,MIO_TKM,SI	51 	53 	64 	41 	69 	61 	64 	52 	45 	67 	51 	60 	70 	55 	49 
OWN,GT11,MIO_TKM,SK	22 	112 	52 	74 	71 	139 	127 	93 	110 	29 	51 	24 	41 	77 	86 
OWN,GT11,MIO_TKM,UK	: 	: 	: 	611 	818 	617 	965 	850 	675 	799 	1136 	1924 	1560 	1666 	1535 
OWN,GT11,THS_T,AT	4262 	4463 	3080 	1516 	1224 	1618 	1559 	1663 	1063 	1391 	1228 	1083 	1082 	1387 	1098 
OWN,GT11,THS_T,BE	3304 	3375 	3327 	5680 	5160 	4388 	5406 	4234 	2253 	2220 	1716 	1844 	1697 	1723 	1844 
OWN,GT11,THS_T,BG	531 	1231 	912 	633 	971 	1419 	768 	986 	1243 	873 	832 	550 	850 	943 	1680 
OWN,GT11,THS_T,CH	1008 	540 	468 	527 	356 	440 	430 	373 	561 	407 	527 	617 	886 	631 	865 
OWN,GT11,THS_T,CY	263 	342 	589 	196 	113 	177 	: u	: u	: u	: u	123 	146 	116 	: u	84 
OWN,GT11,THS_T,CZ	3376 	3362 	2484 	3430 	2531 	3047 	2334 	3125 	3111 	2471 	2099 	2168 	2132 	2761 	2390 
OWN,GT11,THS_T,DE	4279 	4072 	4822 	5408 	6403 	5681 	6324 	6897 	7477 	7094 	8318 	9654 	13518 	11973 	14486 
OWN,GT11,THS_T,DK	1094 	1571 	851 	862 	677 	794 	387 	782 	860 	1194 	1353 	820 	599 	1247 	2804 
OWN,GT11,THS_T,EE	36 	129 	36 	23 	17 	24 	17 	99 	40 	58 	57 	60 	108 	: u	17 
OWN,GT11,THS_T,EL	1878 	1091 	1232 	1537 	1800 	1808 	901 	2450 	1854 	804 	1694 	2153 	3133 	2216 	2481 
OWN,GT11,THS_T,ES	2878 	2627 	1898 	2386 	2287 	2532 	2257 	2011 	2396 	1705 	2123 	2495 	2423 	2200 	2508 
OWN,GT11,THS_T,EU27_2020	76640 	80561 	74690 	78054 	78346 	88936 	93005 	92223 	91275 	89860 	84044 	93735 	98237 	83511 	119639 
OWN,GT11,THS_T,FI	2373 	2287 	3966 	1421 	3091 	1216 	2399 	1861 	2292 	3611 	1691 	3461 	6278 	3523 	4304 
OWN,GT11,THS_T,FR	23278 	23127 	19948 	22889 	22788 	36630 	40851 	37702 	34569 	38077 	32754 	34104 	30927 	20097 	43489 
OWN,GT11,THS_T,HR	817 	966 	941 	811 	580 	559 	1014 	724 	780 	828 	650 	949 	826 	841 	1097 
OWN,GT11,THS_T,HU	599 	764 	788 	755 	530 	606 	1011 	1819 	1890 	2006 	1750 	2167 	1439 	1376 	1899 
OWN,GT11,THS_T,IE	1307 	1007 	439 	1157 	927 	987 	849 	656 	678 	684 	559 	947 	983 	1670 	3098 
OWN,GT11,THS_T,IT	1830 	1459 	1088 	1219 	1264 	2722 	4139 	4232 	5073 	4436 	5181 	7518 	8438 	9278 	9526 
OWN,GT11,THS_T,LT	301 	257 	383 	768 	436 	463 	484 	598 	501 	407 	516 	708 	636 	501 	948 
OWN,GT11,THS_T,LU	407 	348 	341 	528 	434 	493 	361 	299 	465 	463 	517 	422 	551 	509 	314 
OWN,GT11,THS_T,LV	1157 	1224 	987 	888 	1146 	809 	720 	744 	831 	892 	840 	574 	843 	759 	679 
OWN,GT11,THS_T,ME	: 	: u	6 	4 	4 	3 	7 	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT11,THS_T,MK	: 	: 	42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT11,THS_T,NL	13595 	13893 	13173 	12391 	11653 	10853 	10359 	11538 	10556 	11487 	10050 	9072 	9149 	7167 	7285 
OWN,GT11,THS_T,NO	1963 	3159 	1788 	941 	1119 	1458 	2029 	2351 	3009 	2568 	2412 	3603 	2631 	2962 	2868 
OWN,GT11,THS_T,PL	3276 	5945 	6637 	5917 	5208 	3761 	4582 	4105 	6793 	4778 	4703 	7125 	5164 	4776 	8306 
OWN,GT11,THS_T,PT	1160 	1750 	1737 	2359 	2142 	2349 	1801 	1530 	1393 	958 	1520 	1616 	1820 	2116 	2579 
OWN,GT11,THS_T,RO	1659 	1668 	1881 	1722 	1946 	1692 	1281 	1354 	1450 	1625 	1581 	1379 	2065 	4047 	4319 
OWN,GT11,THS_T,SE	1903 	2182 	1342 	1814 	2958 	2446 	1501 	1611 	2085 	906 	1215 	1678 	1742 	884 	922 
OWN,GT11,THS_T,SI	550 	714 	1124 	698 	763 	995 	553 	581 	567 	512 	521 	761 	1090 	891 	556 
OWN,GT11,THS_T,SK	528 	707 	685 	1046 	1299 	867 	1136 	601 	1045 	335 	453 	279 	631 	600 	925 
OWN,GT11,THS_T,UK	: 	: 	: 	6382 	9410 	6747 	11514 	8559 	6405 	6417 	14660 	23512 	22386 	23310 	21619 
OWN,GT12,MIO_TKM,AT	29 	49 	29 	107 	106 	112 	91 	109 	83 	64 	81 	73 	61 	73 	106 
OWN,GT12,MIO_TKM,BE	111 	82 	79 	60 	101 	21 	143 	67 	26 	25 	80 	40 	47 	46 	70 
OWN,GT12,MIO_TKM,BG	47 	47 	52 	157 	78 	12 	114 	39 	61 	45 	35 	8 	40 	39 	15 
OWN,GT12,MIO_TKM,CH	13 	3 	7 	5 	7 	5 	9 	37 	14 	27 	11 	20 	14 	13 	6 
OWN,GT12,MIO_TKM,CY	4 	1 	4 	: u	4 	: u	1 	1 	: u	: u	: u	3 	2 	: u	5 
OWN,GT12,MIO_TKM,CZ	216 	333 	161 	163 	127 	122 	135 	162 	190 	132 	111 	104 	82 	90 	104 
OWN,GT12,MIO_TKM,DE	317 	316 	330 	443 	485 	481 	501 	403 	499 	542 	521 	648 	547 	1061 	1201 
OWN,GT12,MIO_TKM,DK	25 	33 	10 	8 	12 	13 	9 	22 	22 	33 	32 	18 	17 	13 	21 
OWN,GT12,MIO_TKM,EE	2 	: u	: u	1 	: u	: u	6 	: u	2 	7 	: u	8 	11 	7 	4 
OWN,GT12,MIO_TKM,EL	16 	18 	17 	9 	35 	56 	40 	53 	50 	16 	28 	14 	29 	19 	47 
OWN,GT12,MIO_TKM,ES	62 	60 	58 	81 	92 	81 	43 	51 	62 	72 	66 	89 	71 	56 	63 
OWN,GT12,MIO_TKM,EU27_2020	2787 	3250 	2807 	3492 	3331 	3127 	3319 	3210 	2873 	2812 	2822 	2662 	2763 	3254 	3709 
OWN,GT12,MIO_TKM,FI	154 	: u	67 	75 	62 	26 	16 	52 	17 	48 	: u	45 	: u	25 	59 
OWN,GT12,MIO_TKM,FR	232 	535 	300 	666 	258 	631 	670 	877 	613 	676 	547 	487 	425 	384 	374 
OWN,GT12,MIO_TKM,HR	12 	8 	13 	9 	9 	13 	2 	6 	8 	7 	5 	4 	2 	1 	6 
OWN,GT12,MIO_TKM,HU	30 	41 	17 	36 	32 	47 	38 	27 	35 	16 	17 	55 	134 	86 	55 
OWN,GT12,MIO_TKM,IE	19 	8 	25 	28 	14 	15 	21 	7 	9 	10 	25 	3 	15 	3 	: 
OWN,GT12,MIO_TKM,IT	209 	324 	202 	218 	212 	181 	83 	82 	81 	73 	143 	90 	207 	137 	164 
OWN,GT12,MIO_TKM,LT	32 	17 	28 	9 	47 	14 	6 	24 	22 	52 	40 	48 	64 	115 	222 
OWN,GT12,MIO_TKM,LU	38 	38 	53 	33 	42 	45 	38 	42 	38 	52 	6 	10 	21 	16 	12 
OWN,GT12,MIO_TKM,LV	: u	: u	: u	: u	: u	: u	: u	5 	5 	: u	4 	4 	: u	1 	0 
OWN,GT12,MIO_TKM,ME	: 	: u	: 	1 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT12,MIO_TKM,MK	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT12,MIO_TKM,NL	129 	123 	120 	118 	158 	137 	155 	142 	168 	221 	128 	88 	93 	286 	267 
OWN,GT12,MIO_TKM,NO	22 	23 	20 	164 	28 	92 	109 	54 	29 	49 	42 	84 	16 	54 	36 
OWN,GT12,MIO_TKM,PL	562 	689 	770 	714 	831 	441 	626 	548 	361 	314 	325 	404 	354 	386 	534 
OWN,GT12,MIO_TKM,PT	11 	11 	16 	38 	23 	41 	37 	29 	101 	21 	194 	79 	119 	52 	63 
OWN,GT12,MIO_TKM,RO	434 	308 	409 	453 	453 	441 	421 	298 	241 	227 	259 	228 	305 	305 	210 
OWN,GT12,MIO_TKM,SE	40 	100 	20 	14 	54 	30 	6 	29 	59 	47 	19 	42 	19 	5 	26 
OWN,GT12,MIO_TKM,SI	30 	73 	1 	31 	54 	38 	53 	69 	31 	50 	45 	40 	28 	4 	20 
OWN,GT12,MIO_TKM,SK	26 	19 	27 	22 	36 	126 	64 	66 	91 	51 	73 	31 	53 	45 	60 
OWN,GT12,MIO_TKM,UK	: 	: 	: 	499 	772 	864 	800 	918 	658 	654 	1245 	1057 	1378 	1299 	1055 
OWN,GT12,THS_T,AT	428 	942 	728 	2371 	2118 	2129 	1890 	1873 	1745 	1690 	1638 	1537 	1401 	1251 	1728 
OWN,GT12,THS_T,BE	939 	987 	307 	627 	261 	158 	1670 	720 	277 	212 	646 	334 	251 	284 	476 
OWN,GT12,THS_T,BG	513 	305 	149 	187 	240 	186 	193 	122 	175 	150 	117 	87 	392 	242 	272 
OWN,GT12,THS_T,CH	129 	68 	250 	124 	91 	138 	159 	367 	149 	257 	114 	253 	238 	166 	150 
OWN,GT12,THS_T,CY	53 	53 	202 	: u	123 	: u	56 	36 	: u	: u	: u	142 	89 	: u	142 
OWN,GT12,THS_T,CZ	1960 	2857 	2114 	2449 	1771 	1504 	1263 	1649 	1593 	1293 	1060 	1207 	803 	878 	1738 
OWN,GT12,THS_T,DE	6985 	6764 	6185 	16582 	12984 	10695 	10764 	7949 	10423 	8296 	8272 	8110 	6720 	10654 	11435 
OWN,GT12,THS_T,DK	291 	680 	90 	112 	118 	95 	85 	253 	270 	552 	373 	252 	220 	187 	658 
OWN,GT12,THS_T,EE	15 	: u	: u	18 	: u	: u	56 	: u	41 	39 	: u	103 	98 	145 	76 
OWN,GT12,THS_T,EL	1005 	660 	311 	183 	877 	206 	646 	2584 	4903 	274 	289 	431 	789 	571 	669 
OWN,GT12,THS_T,ES	578 	1041 	644 	1166 	1106 	857 	536 	541 	685 	1041 	735 	515 	463 	590 	766 
OWN,GT12,THS_T,EU27_2020	28331 	33852 	27423 	44270 	37700 	33147 	33873 	31658 	35502 	28194 	25347 	30299 	26485 	32844 	37825 
OWN,GT12,THS_T,FI	645 	: u	713 	1117 	313 	262 	296 	919 	502 	739 	: u	260 	: u	137 	1042 
OWN,GT12,THS_T,FR	1675 	3345 	2361 	4180 	2268 	4424 	4648 	4943 	3648 	4746 	3019 	6897 	3530 	2431 	2704 
OWN,GT12,THS_T,HR	153 	70 	158 	75 	206 	231 	72 	56 	117 	130 	160 	162 	69 	41 	120 
OWN,GT12,THS_T,HU	347 	384 	184 	294 	327 	332 	383 	426 	473 	186 	255 	335 	923 	785 	598 
OWN,GT12,THS_T,IE	151 	65 	229 	294 	180 	154 	186 	94 	143 	137 	167 	47 	86 	49 	: 
OWN,GT12,THS_T,IT	4491 	5156 	4396 	5467 	4842 	3288 	2022 	2502 	2034 	1747 	2458 	2764 	4434 	3910 	2968 
OWN,GT12,THS_T,LT	120 	50 	103 	117 	42 	63 	32 	26 	47 	44 	77 	87 	69 	164 	277 
OWN,GT12,THS_T,LU	333 	438 	428 	337 	302 	320 	482 	320 	237 	150 	58 	105 	120 	66 	118 
OWN,GT12,THS_T,LV	: u	: u	: u	: u	: u	: u	: u	62 	34 	: u	52 	13 	: u	31 	14 
OWN,GT12,THS_T,ME	: 	: u	: 	7 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT12,THS_T,MK	: 	: 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT12,THS_T,NL	1527 	1779 	1763 	1740 	1832 	1758 	1936 	1523 	1706 	2650 	1526 	1742 	1116 	4903 	4410 
OWN,GT12,THS_T,NO	593 	380 	402 	304 	111 	890 	1322 	663 	143 	278 	238 	1003 	543 	309 	105 
OWN,GT12,THS_T,PL	3979 	6200 	5017 	5261 	6049 	4510 	5316 	3623 	4105 	2428 	2389 	3041 	3482 	3276 	4247 
OWN,GT12,THS_T,PT	166 	106 	74 	135 	181 	167 	97 	166 	130 	121 	262 	293 	270 	313 	593 
OWN,GT12,THS_T,RO	814 	788 	774 	982 	900 	741 	716 	505 	644 	500 	752 	497 	662 	1158 	2064 
OWN,GT12,THS_T,SE	297 	581 	47 	73 	268 	281 	76 	148 	327 	291 	140 	149 	79 	154 	322 
OWN,GT12,THS_T,SI	38 	96 	17 	64 	61 	96 	72 	107 	226 	94 	65 	81 	44 	21 	51 
OWN,GT12,THS_T,SK	814 	442 	428 	414 	295 	642 	376 	498 	984 	640 	403 	1109 	323 	515 	334 
OWN,GT12,THS_T,UK	: 	: 	: 	6219 	7062 	7343 	7498 	7908 	5894 	6093 	11292 	10426 	10805 	12313 	10523 
OWN,GT13,MIO_TKM,AT	203 	147 	97 	284 	342 	334 	263 	284 	362 	370 	332 	397 	312 	335 	368 
OWN,GT13,MIO_TKM,BE	235 	269 	218 	337 	281 	292 	158 	154 	226 	108 	170 	161 	353 	168 	201 
OWN,GT13,MIO_TKM,BG	70 	40 	17 	10 	59 	45 	150 	25 	81 	36 	22 	89 	46 	24 	29 
OWN,GT13,MIO_TKM,CH	36 	28 	30 	39 	40 	32 	37 	71 	77 	17 	47 	54 	72 	43 	78 
OWN,GT13,MIO_TKM,CY	3 	7 	3 	8 	1 	: u	: u	: u	: 	: u	: 	: 	: u	: u	: u
OWN,GT13,MIO_TKM,CZ	61 	86 	31 	34 	63 	22 	12 	45 	46 	36 	57 	37 	69 	41 	39 
OWN,GT13,MIO_TKM,DE	401 	468 	476 	495 	507 	486 	444 	505 	485 	482 	486 	600 	600 	551 	661 
OWN,GT13,MIO_TKM,DK	13 	5 	8 	26 	16 	8 	10 	6 	23 	28 	25 	38 	24 	81 	81 
OWN,GT13,MIO_TKM,EE	: u	: u	: u	: u	: u	10 	: 	: u	2 	: u	: u	: u	: u	: u	6 
OWN,GT13,MIO_TKM,EL	26 	10 	: u	9 	6 	12 	7 	16 	13 	: u	: u	46 	88 	118 	87 
OWN,GT13,MIO_TKM,ES	156 	168 	175 	142 	131 	124 	152 	134 	131 	128 	162 	154 	193 	203 	272 
OWN,GT13,MIO_TKM,EU27_2020	2670 	2666 	2517 	2678 	2949 	2958 	2712 	2999 	2944 	2919 	2585 	3113 	3206 	3530 	6467 
OWN,GT13,MIO_TKM,FI	: u	: u	: u	13 	: u	: u	: u	: u	: u	: u	: u	: u	23 	12 	20 
OWN,GT13,MIO_TKM,FR	138 	48 	67 	157 	146 	251 	243 	161 	154 	147 	145 	243 	194 	266 	476 
OWN,GT13,MIO_TKM,HR	23 	9 	5 	12 	16 	16 	11 	16 	22 	27 	34 	25 	24 	16 	33 
OWN,GT13,MIO_TKM,HU	67 	6 	15 	8 	26 	14 	22 	59 	9 	18 	12 	22 	74 	152 	114 
OWN,GT13,MIO_TKM,IE	36 	49 	41 	53 	44 	39 	43 	36 	44 	36 	35 	53 	45 	80 	424 
OWN,GT13,MIO_TKM,IT	69 	51 	46 	55 	39 	66 	94 	72 	108 	133 	59 	104 	121 	98 	262 
OWN,GT13,MIO_TKM,LT	24 	21 	4 	12 	6 	22 	16 	30 	14 	7 	16 	: u	12 	15 	17 
OWN,GT13,MIO_TKM,LU	1 	5 	7 	7 	11 	5 	6 	8 	4 	2 	2 	1 	21 	24 	16 
OWN,GT13,MIO_TKM,LV	3 	: u	7 	4 	: u	: u	6 	6 	: u	7 	2 	11 	1 	3 	11 
OWN,GT13,MIO_TKM,ME	: 	: u	: u	: u	0 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT13,MIO_TKM,MK	: 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT13,MIO_TKM,NL	79 	77 	73 	148 	89 	65 	54 	86 	77 	82 	68 	63 	85 	67 	127 
OWN,GT13,MIO_TKM,NO	: u	: u	3 	4 	4 	: u	: u	6 	1 	5 	11 	4 	10 	4 	3 
OWN,GT13,MIO_TKM,PL	622 	683 	847 	458 	703 	608 	563 	737 	611 	901 	625 	784 	625 	576 	438 
OWN,GT13,MIO_TKM,PT	42 	41 	44 	49 	73 	75 	55 	36 	59 	41 	78 	65 	89 	93 	122 
OWN,GT13,MIO_TKM,RO	168 	149 	122 	111 	163 	129 	154 	139 	131 	174 	146 	108 	100 	493 	2564 
OWN,GT13,MIO_TKM,SE	: u	53 	31 	34 	31 	23 	47 	10 	5 	15 	13 	21 	16 	7 	27 
OWN,GT13,MIO_TKM,SI	152 	213 	140 	134 	125 	271 	125 	373 	295 	89 	64 	79 	76 	68 	35 
OWN,GT13,MIO_TKM,SK	36 	57 	39 	78 	58 	37 	71 	53 	27 	13 	16 	12 	13 	29 	36 
OWN,GT13,MIO_TKM,UK	: 	: 	: 	973 	585 	757 	647 	768 	829 	461 	687 	981 	1152 	1284 	1390 
OWN,GT13,THS_T,AT	1849 	1484 	945 	3555 	4323 	4427 	3589 	3431 	3964 	3990 	3739 	4115 	4070 	3641 	3487 
OWN,GT13,THS_T,BE	1687 	1797 	2249 	3269 	2754 	2312 	2290 	1303 	1166 	687 	1263 	810 	1647 	884 	1026 
OWN,GT13,THS_T,BG	331 	177 	125 	69 	180 	198 	320 	164 	239 	145 	117 	206 	186 	203 	121 
OWN,GT13,THS_T,CH	590 	375 	377 	409 	869 	340 	402 	1588 	1062 	353 	504 	634 	802 	535 	516 
OWN,GT13,THS_T,CY	50 	233 	89 	163 	78 	: u	: u	: u	: 	: u	: 	: 	: u	: u	: u
OWN,GT13,THS_T,CZ	230 	607 	200 	197 	251 	227 	117 	285 	193 	141 	414 	232 	462 	453 	255 
OWN,GT13,THS_T,DE	2192 	2536 	2283 	2531 	2224 	2295 	2909 	2104 	2668 	2490 	2420 	2994 	2276 	5566 	6477 
OWN,GT13,THS_T,DK	94 	75 	75 	193 	154 	85 	67 	43 	195 	271 	224 	122 	94 	260 	489 
OWN,GT13,THS_T,EE	: u	: u	: u	: u	: u	22 	: 	: u	27 	: u	: u	: u	: u	: u	29 
OWN,GT13,THS_T,EL	331 	150 	: u	140 	110 	218 	166 	176 	160 	: u	: u	302 	697 	500 	579 
OWN,GT13,THS_T,ES	1447 	1280 	772 	828 	905 	701 	692 	537 	501 	590 	708 	668 	907 	1115 	1537 
OWN,GT13,THS_T,EU27_2020	17402 	16094 	16312 	20085 	18780 	20285 	19497 	17384 	17512 	16790 	17702 	20148 	19624 	21682 	31257 
OWN,GT13,THS_T,FI	: u	: u	: u	615 	: u	: u	: u	: u	: u	: u	: u	: u	263 	101 	225 
OWN,GT13,THS_T,FR	1538 	811 	1199 	1130 	1155 	1782 	2196 	1447 	1790 	1708 	3547 	3090 	2029 	2275 	4225 
OWN,GT13,THS_T,HR	152 	60 	63 	120 	104 	106 	76 	103 	112 	158 	189 	152 	129 	125 	260 
OWN,GT13,THS_T,HU	166 	79 	69 	58 	89 	63 	75 	127 	61 	55 	87 	121 	285 	328 	216 
OWN,GT13,THS_T,IE	420 	430 	485 	600 	624 	445 	500 	395 	475 	511 	324 	600 	426 	760 	3228 
OWN,GT13,THS_T,IT	928 	807 	852 	1158 	199 	539 	778 	501 	901 	664 	655 	1269 	926 	878 	2804 
OWN,GT13,THS_T,LT	151 	148 	36 	104 	51 	84 	86 	65 	48 	34 	97 	: u	42 	79 	112 
OWN,GT13,THS_T,LU	16 	44 	41 	42 	49 	37 	55 	42 	36 	10 	10 	11 	55 	63 	50 
OWN,GT13,THS_T,LV	21 	: u	38 	42 	: u	: u	48 	30 	: u	35 	12 	25 	46 	18 	42 
OWN,GT13,THS_T,ME	: 	: u	: u	: u	5 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT13,THS_T,MK	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT13,THS_T,NL	736 	680 	950 	1128 	924 	620 	588 	794 	682 	864 	868 	700 	780 	564 	873 
OWN,GT13,THS_T,NO	: u	: u	60 	11 	18 	: u	: u	73 	21 	25 	207 	254 	137 	35 	34 
OWN,GT13,THS_T,PL	2785 	2939 	3950 	2325 	2578 	3509 	3010 	4034 	2270 	3040 	1899 	3608 	3060 	2104 	1761 
OWN,GT13,THS_T,PT	451 	367 	198 	513 	451 	425 	403 	348 	477 	426 	318 	241 	469 	463 	457 
OWN,GT13,THS_T,RO	361 	431 	422 	300 	325 	345 	274 	331 	271 	316 	382 	258 	266 	806 	2371 
OWN,GT13,THS_T,SE	: u	116 	437 	198 	246 	146 	285 	93 	344 	106 	100 	138 	72 	70 	78 
OWN,GT13,THS_T,SI	1017 	376 	519 	404 	497 	833 	509 	677 	621 	320 	164 	319 	281 	185 	85 
OWN,GT13,THS_T,SK	342 	431 	299 	400 	414 	845 	430 	293 	234 	66 	90 	153 	114 	217 	441 
OWN,GT13,THS_T,UK	: 	: 	: 	5803 	5080 	6912 	5909 	5934 	7708 	3672 	5708 	6453 	8956 	10982 	9824 
OWN,GT14,MIO_TKM,AT	583 	549 	434 	412 	411 	473 	449 	413 	342 	362 	324 	318 	396 	299 	347 
OWN,GT14,MIO_TKM,BE	179 	821 	552 	264 	327 	301 	841 	377 	139 	101 	126 	84 	106 	86 	45 
OWN,GT14,MIO_TKM,BG	129 	177 	96 	172 	126 	161 	100 	228 	112 	148 	141 	233 	174 	126 	77 
OWN,GT14,MIO_TKM,CH	185 	322 	346 	279 	240 	189 	361 	300 	341 	333 	361 	326 	181 	258 	238 
OWN,GT14,MIO_TKM,CY	32 	27 	32 	25 	18 	20 	14 	12 	13 	10 	20 	18 	19 	13 	9 
OWN,GT14,MIO_TKM,CZ	859 	567 	639 	683 	550 	412 	457 	337 	241 	234 	211 	218 	212 	205 	245 
OWN,GT14,MIO_TKM,DE	2230 	2340 	2735 	2693 	2698 	2854 	2769 	3091 	3339 	3151 	3158 	3519 	3540 	6120 	7015 
OWN,GT14,MIO_TKM,DK	39 	25 	16 	29 	16 	40 	36 	44 	47 	30 	36 	30 	42 	34 	32 
OWN,GT14,MIO_TKM,EE	12 	5 	3 	1 	1 	: u	12 	2 	2 	4 	2 	2 	4 	5 	0 
OWN,GT14,MIO_TKM,EL	349 	334 	391 	478 	376 	569 	685 	362 	823 	692 	434 	512 	870 	979 	525 
OWN,GT14,MIO_TKM,ES	732 	823 	635 	764 	688 	626 	529 	514 	548 	489 	573 	603 	651 	616 	663 
OWN,GT14,MIO_TKM,EU27_2020	10998 	11876 	11516 	11761 	12184 	12390 	12445 	12187 	12431 	11956 	11613 	12191 	12495 	15230 	13467 
OWN,GT14,MIO_TKM,FI	127 	60 	41 	97 	52 	45 	124 	33 	61 	38 	52 	88 	195 	153 	133 
OWN,GT14,MIO_TKM,FR	1326 	1394 	1338 	1211 	1336 	2293 	2027 	2288 	1904 	1985 	1835 	1901 	1694 	1665 	1111 
OWN,GT14,MIO_TKM,HR	105 	80 	65 	69 	94 	77 	92 	88 	109 	83 	81 	97 	127 	130 	130 
OWN,GT14,MIO_TKM,HU	157 	187 	177 	138 	170 	140 	205 	282 	262 	255 	272 	283 	266 	242 	246 
OWN,GT14,MIO_TKM,IE	249 	307 	232 	271 	182 	196 	167 	129 	121 	124 	137 	135 	132 	133 	144 
OWN,GT14,MIO_TKM,IT	624 	593 	684 	628 	637 	732 	772 	847 	788 	730 	820 	936 	1237 	1462 	861 
OWN,GT14,MIO_TKM,LT	14 	28 	46 	61 	71 	55 	39 	69 	59 	32 	24 	33 	32 	27 	33 
OWN,GT14,MIO_TKM,LU	42 	44 	32 	45 	24 	25 	13 	18 	20 	18 	20 	9 	14 	3 	5 
OWN,GT14,MIO_TKM,LV	11 	23 	27 	23 	28 	37 	21 	45 	23 	31 	36 	29 	32 	20 	28 
OWN,GT14,MIO_TKM,ME	: 	1 	0 	1 	1 	1 	: u	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT14,MIO_TKM,MK	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OWN,GT14,MIO_TKM,NL	570 	647 	650 	648 	729 	608 	652 	652 	920 	696 	651 	482 	455 	450 	320 
OWN,GT14,MIO_TKM,NO	232 	229 	445 	416 	173 	208 	246 	370 	388 	394 	305 	316 	227 	232 	308 
OWN,GT14,MIO_TKM,PL	2088 	2055 	2098 	2238 	2840 	1916 	1800 	1723 	1937 	2145 	2050 	1890 	1676 	1692 	782 
OWN,GT14,MIO_TKM,PT	157 	205 	183 	278 	204 	324 	189 	149 	174 	132 	174 	177 	232 	211 	201 
OWN,GT14,MIO_TKM,RO	220 	232 	174 	232 	209 	167 	239 	190 	238 	330 	218 	289 	178 	383 	255 
OWN,GT14,MIO_TKM,SE	106 	262 	139 	183 	323 	184 	143 	169 	122 	77 	161 	218 	121 	68 	139 
