tra_type,nst07,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
HIRE,GT02,THS_T,PT	124 	54 	72 	158 	190 	184 	180 	78 	77 	95 	: u	117 	: u	: u	368 
HIRE,GT02,THS_T,RO	1050 	308 	201 	370 	143 	305 	298 	239 	169 	152 	650 	1172 	1461 	1952 	1878 
HIRE,GT02,THS_T,SE	808 	172 	697 	2022 	1177 	1014 	411 	1753 	231 	157 	: u	123 	411 	62 	133 
HIRE,GT02,THS_T,SI	165 	64 	31 	: u	47 	92 	: u	66 	78 	55 	47 	54 	62 	214 	204 
HIRE,GT02,THS_T,SK	75 	77 	43 	260 	616 	295 	179 	212 	97 	121 	194 	206 	184 	278 	499 
HIRE,GT02,THS_T,UK	: 	: 	: 	2130 	3616 	6378 	3009 	3951 	10197 	6413 	8568 	7817 	10229 	10012 	18434 
HIRE,GT03,MIO_TKM,AT	2090 	2262 	2103 	2340 	2403 	2325 	2223 	2259 	2074 	1937 	1962 	2044 	2014 	2289 	2285 
HIRE,GT03,MIO_TKM,BE	3715 	4980 	5432 	5395 	5841 	5276 	4373 	4764 	3090 	3268 	3041 	3097 	3115 	3318 	3825 
HIRE,GT03,MIO_TKM,BG	3942 	1044 	911 	657 	798 	714 	892 	813 	803 	701 	671 	437 	454 	622 	635 
HIRE,GT03,MIO_TKM,CH	1709 	1529 	1436 	1384 	1560 	1494 	1182 	1291 	1356 	1294 	1228 	1668 	1339 	1119 	1368 
HIRE,GT03,MIO_TKM,CY	192 	124 	120 	125 	121 	95 	76 	48 	59 	49 	110 	151 	191 	186 	251 
HIRE,GT03,MIO_TKM,CZ	5350 	4681 	5077 	4457 	4239 	4058 	4132 	4494 	3194 	2858 	2749 	2892 	2674 	2508 	2801 
HIRE,GT03,MIO_TKM,DE	24585 	25962 	24536 	24858 	25618 	24597 	23845 	21855 	21479 	20337 	19996 	20506 	20066 	14376 	14945 
HIRE,GT03,MIO_TKM,DK	1932 	1872 	1783 	1889 	1926 	2130 	1844 	1956 	1692 	1555 	1627 	1756 	1328 	1274 	1431 
HIRE,GT03,MIO_TKM,EE	377 	400 	320 	360 	385 	333 	390 	416 	317 	318 	462 	442 	408 	505 	669 
HIRE,GT03,MIO_TKM,EL	908 	696 	922 	631 	786 	595 	1105 	745 	810 	502 	722 	817 	1166 	926 	1580 
HIRE,GT03,MIO_TKM,ES	13208 	14338 	12521 	12833 	12713 	12018 	11564 	10623 	10050 	9285 	10743 	13856 	14698 	16079 	20854 
HIRE,GT03,MIO_TKM,EU27_2020	113607 	116238 	109370 	108724 	109604 	103032 	93056 	92148 	87684 	86161 	86264 	96520 	96509 	92148 	106538 
