unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
THS_T,HU	51696 	51031 	51892 	52270 	52471 	52682 	50047 	50333 	50593 	49085 	46884 	47424 	45794 	42277 	51543 	51523 	54705 	50850 	51726 	42940 
THS_T,IE	419 	415 	449 	346 	516 	546 	581 	540 	578 	589 	567 	611 	568 	631 	717 	825 	1245 	1820 	2140 	: c
THS_T,IT	104542 	104213 	90529 	94295 	97197 	94287 	92949 	92273 	90862 	87960 	88505 	91811 	84435 	76336 	95810 	105314 	102169 	89755 	83533 	74293 
THS_T,LI	1216 	: c	: c	: c	: c	: c	: c	: c	: c	1037 	1168 	1172 	1214 	1160 	1843 	2003 	2031 	1844 	2284 	: 
THS_T,LT	30977 	51080 	53430 	55209 	56776 	52638 	47651 	48053 	49000 	48028 	49377 	52330 	48061 	42669 	54970 	53503 	50225 	49287 	45555 	43447 
THS_T,LU	3464 	3713 	3627 	4405 	4585 	4406 	4482 	5207 	4573 	5098 	5442 	6973 	7626 	6446 	8548 	16532 	12133 	10739 	15757 	14798 
THS_T,LV	21305 	21772 	24056 	41490 	49260 	43785 	47819 	55645 	57039 	55831 	60601 	59385 	49164 	53679 	56061 	52164 	48731 	54861 	51058 	48355 
THS_T,ME	: 	: 	1154 	1131 	966 	1603 	1395 	987 	903 	1050 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_T,MK	1418 	1963 	1765 	1839 	1679 	1558 	1358 	1566 	2377 	2283 	2539 	2770 	3097 	2929 	: 	: 	: 	: 	: 	: 
THS_T,NL	44469 	42621 	40017 	42654 	41558 	41190 	42615 	41721 	39367 	38927 	37627 	39174 	35536 	33594 	40569 	40700 	37267 	35009 	33709 	29697 
THS_T,NO	33496 	37550 	36822 	34563 	34981 	34974 	33260 	31585 	33393 	31429 	30273 	28305 	27229 	22961 	24787 	25131 	24802 	25162 	23168 	21181 
THS_T,PL	237587 	237915 	218381 	233744 	249260 	239501 	222523 	224320 	227820 	232596 	230878 	248606 	216767 	200819 	248860 	245307 	291394 	269553 	282919 	161816 
THS_T,PT	8366 	9057 	8426 	9365 	10221 	10453 	10259 	11108 	10276 	9291 	9701 	9975 	10094 	8947 	10426 	10556 	9775 	9587 	9559 	8718 
THS_T,RO	55188 	57424 	49670 	58808 	55429 	56083 	52618 	55306 	50739 	50348 	55755 	60723 	52932 	50595 	66711 	68772 	68312 	69176 	72738 	: 
THS_T,SE	70942 	72458 	69805 	68220 	69123 	69350 	67479 	64999 	68035 	67047 	65789 	67907 	68329 	56466 	65632 	67809 	64944 	63198 	60157 	57874 
THS_T,SI	20459 	20339 	19398 	21902 	21316 	21275 	18595 	17832 	17989 	17156 	15828 	17024 	16234 	13774 	17271 	17575 	17052 	16344 	16193 	15813 
THS_T,SK	46712 	49944 	41572 	46413 	49642 	47760 	47548 	47358 	50997 	48401 	42599 	43711 	44327 	37603 	47910 	51813 	52449 	49310 	50445 	50521 
THS_T,TR	38670 	38155 	34374 	33285 	28484 	28287 	24546 	24286 	26764 	25053 	24887 	24753 	23816 	21270 	22870 	20849 	19745 	18946 	17708 	15755 
THS_T,UK	: 	: 	: 	71053 	75399 	76393 	78549 	96821 	108531 	117769 	115225 	100364 	89241 	87666 	103180 	104383 	109194 	103263 	118561 	89417 
