freq,tra_cov,nst07,typpack,unit,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT03,TOTAL,THS_T,HU	1803 	2150 	1534 	1985 	1430 	1595 	1425 	1555 	1278 	1442 	1562 	1571 	1842 	1351 	1415 	1048 
A,TOTAL,GT03,TOTAL,THS_T,IT	32 	27 	44 	812 	716 	186 	159 	123 	72 	72 	35 	12 	13 	0 n	13 	0 
A,TOTAL,GT03,TOTAL,THS_T,LT	125 	145 	74 	98 	95 	89 	36 	47 	68 	52 	15 	13 	11 	9 	147 	303 
A,TOTAL,GT03,TOTAL,THS_T,LU	1383 	1329 	198 	836 	603 	157 	271 	232 	128 	647 	682 	550 	660 	524 	599 	519 
A,TOTAL,GT03,TOTAL,THS_T,NL	110361 	113284 	87693 	113011 	114539 	101331 	98606 	101067 	101704 	101715 	103139 	102919 	89369 	88539 	88487 	83768 
A,TOTAL,GT03,TOTAL,THS_T,PL	3187 	2564 	1465 	1149 	1531 	1294 	1892 	4406 	3095 	1821 	1623 	1165 	1210 	1174 	1064 	345 
A,TOTAL,GT03,TOTAL,THS_T,RO	: 	16818 	11333 	17336 	16726 	15502 	13512 	12517 	14539 	14093 	13676 	14498 	16016 	13228 	12969 	10172 
A,TOTAL,GT03,TOTAL,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 d	: 	: 	: 	1845 d	1349 
A,TOTAL,GT03,TOTAL,THS_T,SK	: 	1076 	1223 	2018 	1792 	1651 	1417 	1525 	1139 	1226 	1392 	931 	780 	972 	1063 	1212 
A,TOTAL,GT03,TOTAL,THS_T,UK	1593 	2163 	1991 	1294 	1921 	1655 	1670 	1333 	1360 	471 	934 	1065 	0 	: 	: 	: 
A,TOTAL,GT04,TOTAL,THS_T,AT	: 	592 	520 	478 	388 	433 	397 	418 	373 	344 	408 	273 	287 	268 	326 	322 
A,TOTAL,GT04,TOTAL,THS_T,BE	4331 	3659 	3204 	4064 	4349 	5269 	5784 	5616 	5376 	4999 	5082 	3550 b	3951 	3818 	3667 	4119 
A,TOTAL,GT04,TOTAL,THS_T,BG	: 	182 	176 	170 	221 	167 	221 	106 	197 	204 	132 	105 	124 	161 	112 	168 
A,TOTAL,GT04,TOTAL,THS_T,CZ	: 	15 	7 	73 	62 	45 	20 	9 	3 	4 	2 	1 	: 	0 n	1 	: 
A,TOTAL,GT04,TOTAL,THS_T,DE	11156 	11084 	10938 	11205 	8861 	9239 	9088 	9684 	9274 	9017 	8475 	7554 	8121 	8521 	7817 	7175 
