unit,nst07,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
MIO_TKM,GT03,SK	3031 	3330 	2655 	2883 	3128 	3378 	3422 	3522 	3427 	3420 	3240 	3405 	3304 	2781 	3826 
MIO_TKM,GT03,TR	6120 	5027 	6052 	5784 	4095 	4715 	4060 	4012 	5163 	4362 	4548 	4228 	3553 	2523 	2506 
MIO_TKM,GT03,UK	: 	: 	: 	1234 	1193 	1281 	1118 	443 	1164 	340 	438 	479 	0 	132 	404 
MIO_TKM,GT04,AT	310 	281 	235 	231 	236 	251 	226 	223 	230 	302 	302 	288 	263 	263 	: c
MIO_TKM,GT04,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	97 	106 	86 	166 
MIO_TKM,GT04,BG	49 	77 	67 	66 	45 	59 	78 	68 	42 	26 	54 	45 	52 	42 	58 
MIO_TKM,GT04,CH	556 	558 	589 	459 	506 	316 	282 	272 	290 	273 	272 	293 	289 	325 	288 
MIO_TKM,GT04,CZ	104 	111 	110 	136 	121 	127 	96 	85 	92 	120 	144 	109 	149 	149 	131 
MIO_TKM,GT04,DE	1089 	1087 	1088 	1195 	1015 	1082 	1292 	1102 	1182 	1129 	1261 	1131 	1046 	1013 	1043 
MIO_TKM,GT04,DK	23 	50 	62 	68 	61 	65 	21 	15 	17 	17 	9 	13 	31 	14 	18 
MIO_TKM,GT04,EE	110 	98 	95 	59 	68 	93 	91 	32 	49 	51 	44 	51 	53 	61 	75 
MIO_TKM,GT04,EL	0 	: 	0 	1 	1 	4 	10 	11 	21 	39 	33 	18 	25 	12 	29 
MIO_TKM,GT04,ES	43 	30 	56 	49 	85 	148 	92 	45 	39 	35 	54 	97 	94 	86 	9 
MIO_TKM,GT04,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT04,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT04,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT04,FI	1 	2 	2 	5 	6 	6 	6 	5 	5 	5 	8 	9 	15 	21 	27 
MIO_TKM,GT04,FR	2233 	1858 	1793 	2022 	2035 	2176 	1468 	2101 	2278 	2282 	2368 	2410 	1806 	2254 	2876 
MIO_TKM,GT04,HR	68 	58 	81 	106 	111 	143 	128 	97 	153 	126 	152 	124 	100 	90 	154 
MIO_TKM,GT04,HU	192 	191 	111 	169 	134 	108 	104 	109 	106 	118 	111 	117 	95 	87 	127 
MIO_TKM,GT04,IE	47 	32 	39 	44 	49 	59 	58 	51 	53 	52 	47 	51 	43 	11 	10 
MIO_TKM,GT04,IT	1691 	1648 	1518 	1529 	1386 	1453 	1435 	1261 	1220 	1504 	1450 	1339 	: c	1093 	: c
MIO_TKM,GT04,LT	887 	798 	763 	797 	758 	698 	690 	611 	701 	778 	730 	697 	733 	585 	528 
MIO_TKM,GT04,LU	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,GT04,LV	1043 	1086 	1006 	967 	829 	567 	727 	683 	741 	588 	656 	573 	468 	506 	552 
MIO_TKM,GT04,ME	: 	: 	0 	0 	2 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT04,MK	2 	6 	8 	8 	16 	21 	22 	26 	36 	49 	31 	42 	46 	14 	: 
MIO_TKM,GT04,NL	34 	51 	56 	16 	21 	12 	13 	48 	13 	30 	5 	: c	: c	14 	35 
MIO_TKM,GT04,NO	0 	0 	0 	3 	7 	190 	83 	1 	1 	2 	1 	1 	0 	0 	0 
MIO_TKM,GT04,PL	468 	353 	383 	415 	309 	470 	588 	508 	574 	366 	268 	160 	244 	235 	227 
MIO_TKM,GT04,PT	0 	0 	0 	0 	0 	2 	6 	12 	29 	31 	39 	55 	59 	32 	29 
MIO_TKM,GT04,RO	65 	151 	123 	169 	156 	96 	128 	171 	146 	154 	158 	171 	170 	250 	401 
MIO_TKM,GT04,SE	: c	582 	531 	493 	515 	445 	465 	249 	259 	244 	230 	229 	265 	265 	249 
MIO_TKM,GT04,SI	101 	65 	71 	72 	72 	58 	50 	39 	61 	54 	47 	52 	36 	26 	56 
MIO_TKM,GT04,SK	10 	11 	9 	11 	8 	22 	27 	28 	27 	35 	40 	44 	48 	61 	89 
MIO_TKM,GT04,TR	222 	174 	144 	149 	174 	145 	109 	114 	157 	123 	156 	157 	83 	158 	119 
MIO_TKM,GT04,UK	: 	: 	: 	55 	45 	45 	43 	61 	757 	1101 	39 	842 	505 	1374 	990 
MIO_TKM,GT05,AT	2 	1 	1 	1 	1 	1 	1 	1 	2 	2 	2 	1 	1 	1 	: c
MIO_TKM,GT05,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	0 	0 	0 	0 
MIO_TKM,GT05,BG	3 	49 	39 	5 	3 	4 	6 	5 	1 	2 	1 	1 	1 	1 	6 
MIO_TKM,GT05,CH	4 	2 	3 	5 	3 	5 	3 	4 	4 	3 	3 	3 	4 	4 	5 
MIO_TKM,GT05,CZ	0 	1 	1 	1 	1 	1 	1 	1 	1 	2 	2 	2 	2 	1 	13 
MIO_TKM,GT05,DE	6 	3 	2 	2 	3 	0 	0 	7 	11 	10 	11 	13 	15 	8 	8 
MIO_TKM,GT05,DK	1 	1 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	0 	11 	0 
MIO_TKM,GT05,EE	0 	0 	0 	0 	1 	2 	2 	2 	3 	3 	2 	1 	1 	1 	1 
MIO_TKM,GT05,EL	0 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT05,ES	234 	153 	0 	219 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT05,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT05,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT05,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT05,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT05,FR	0 	0 	1 	0 	0 	0 	2 	1 	1 	0 	0 	0 	2 	3 	6 
MIO_TKM,GT05,HR	3 	2 	13 	1 	0 	1 	0 	1 	1 	1 	1 	1 	0 	0 	0 
MIO_TKM,GT05,HU	1 	2 	7 	3 	3 	7 	6 	3 	4 	2 	1 	1 	0 	1 	20 
MIO_TKM,GT05,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT05,IT	44 	60 	49 	52 	55 	76 	91 	94 	102 	: c	46 	166 	: c	9 	: c
MIO_TKM,GT05,LT	5 	18 	11 	7 	8 	10 	6 	3 	5 	4 	4 	4 	2 	1 	15 
MIO_TKM,GT05,LU	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,GT05,LV	6 	8 	15 	15 	13 	23 	24 	18 	35 	24 	21 	20 	54 	18 	43 
MIO_TKM,GT05,ME	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT05,MK	0 	0 	0 	0 	1 	1 	1 	1 	1 	1 	0 	0 	0 	1 	: 
MIO_TKM,GT05,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: c	: c	0 	0 
MIO_TKM,GT05,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT05,PL	1 	1 	3 	1 	2 	1 	0 	1 	5 	8 	4 	0 	1 	2 	3 
MIO_TKM,GT05,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT05,RO	0 	0 	2 	0 	36 	0 	14 	5 	0 	3 	1 	0 	2 	1 	8 
MIO_TKM,GT05,SE	: c	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 
MIO_TKM,GT05,SI	0 	0 	0 	137 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT05,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT05,TR	53 	39 	46 	17 	18 	16 	16 	23 	23 	22 	23 	13 	12 	0 	0 
MIO_TKM,GT05,UK	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT06,AT	1435 	1451 	1270 	1331 	1430 	1392 	1399 	1366 	1339 	1418 	1483 	1520 	1632 	1555 	: c
MIO_TKM,GT06,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	233 	253 	207 	169 
MIO_TKM,GT06,BG	34 	64 	45 	47 	36 	38 	62 	72 	49 	65 	97 	86 	77 	59 	133 
MIO_TKM,GT06,CH	212 	159 	152 	184 	204 	205 	331 	262 	251 	103 	116 	164 	206 	227 	297 
MIO_TKM,GT06,CZ	506 	671 	545 	322 	259 	295 	216 	200 	227 	345 	358 	348 	366 	349 	363 
