freq,unit,nst07,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_T,GT04,IT	: c	1735 	: c	4073 	3757 	3702 	2329 	2218 	2440 	2470 	2427 	2784 	2906 	3117 	3426 
A,THS_T,GT04,LT	1878 	1997 	2438 	2280 	2329 	2575 	2499 	2208 	2510 	2431 	2642 	2767 	2620 	2862 	3019 
A,THS_T,GT04,LU	: 	: 	: 	: 	5 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT04,LV	1413 	1259 	1228 	1514 	1644 	1486 	1861 	1713 	1810 	1418 	1643 	2142 	2168 	2059 	2468 
A,THS_T,GT04,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	29 	21 	4 	1 	: 	: 
A,THS_T,GT04,MK	: 	66 	230 	209 	198 	224 	181 	136 	117 	117 	89 	46 	39 	29 	10 
A,THS_T,GT04,NL	243 	88 	: c	: c	35 	188 	98 	308 	76 	78 	135 	88 	338 	254 	204 
A,THS_T,GT04,NO	0 	0 	0 	3 	7 	9 	7 	6 	356 	562 	124 	16 	3 	1 	1 
A,THS_T,GT04,PL	1049 	1096 	1109 	1048 	1362 	1538 	2038 	1812 	2119 	1915 	1394 	1731 	1628 	1500 	2143 
A,THS_T,GT04,PT	127 	156 	247 	220 	153 	120 	127 	51 	28 	8 	0 	0 	0 	0 	0 
A,THS_T,GT04,RO	948 	609 	418 	549 	499 	520 	486 	560 	399 	626 	838 	947 	817 	778 	384 
A,THS_T,GT04,SE	401 	494 	508 	377 	349 	834 	908 	846 	876 	1007 	1071 	997 	1119 	1145 	: c
A,THS_T,GT04,SI	267 	139 	176 	228 	198 	226 	267 	173 	223 	255 	311 	310 	298 	278 	380 
A,THS_T,GT04,SK	377 	213 	155 	192 	124 	161 	118 	187 	268 	217 	103 	129 	104 	88 	103 
A,THS_T,GT04,TR	118 	142 	84 	294 	301 	296 	465 	429 	423 	543 	593 	582 	541 	497 	576 
A,THS_T,GT04,UK	2614 	3057 	2284 	2691 	191 	3834 	3833 	214 	190 	215 	227 	269 	: 	: 	: 
A,THS_T,GT05,AT	: c	4 	3 	3 	4 	5 	6 	4 	3 	2 	2 	5 	3 	3 	6 
A,THS_T,GT05,BE	0 	1 	1 	1 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT05,BG	18 	6 	4 	5 	7 	7 	7 	17 	20 	13 	12 	16 	193 	116 	11 
A,THS_T,GT05,CH	26 	24 	22 	19 	19 	19 	20 	17 	15 	19 	14 	20 	10 	7 	16 
A,THS_T,GT05,CZ	436 	8 	6 	7 	7 	7 	5 	8 	5 	4 	3 	5 	3 	2 	2 
A,THS_T,GT05,DE	19 	15 	29 	23 	21 	16 	20 	23 	0 	0 	7 	3 	2 	4 	8 
A,THS_T,GT05,DK	0 	31 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	1 	2 	2 
