freq,tra_type,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT04,THS_T,EE	3642 	2726 	2439 	3249 	2076 	2635 	2378 	2892 	2963 	2079 	2707 	2993 	2357 	2895 	2213 
A,TOTAL,GT04,THS_T,EL	39779 	36473 	34742 	26659 	28267 	23145 	28236 	31000 	36530 	41031 	34370 	35209 	32371 	33978 	30088 
A,TOTAL,GT04,THS_T,ES	187698 	177656 	186249 	183115 	194283 	189670 	199182 	216779 	227639 	235150 	249992 	263361 	263439 	279646 	281591 
A,TOTAL,GT04,THS_T,EU27_2020	1405608 	1355829 	1362501 	1333337 	1336120 	1345570 	1369203 	1438636 	1504406 	1535226 	1536374 	1563962 	1594982 	1613944 	1598891 
A,TOTAL,GT04,THS_T,FI	21833 	22749 	19528 	17364 	19106 	15592 	16254 	16125 	15468 	15620 	13944 	13109 	16583 	14393 	14779 
A,TOTAL,GT04,THS_T,FR	203402 	162407 	171364 	179643 	168332 	163084 	158911 	166417 	169264 	171412 	173856 	169692 	164758 	157692 	146967 
A,TOTAL,GT04,THS_T,HR	9209 	8717 	7748 	8086 	8609 	8886 	8618 	10132 	9482 	9621 	10548 	9842 	9765 	9523 	9997 
A,TOTAL,GT04,THS_T,HU	26440 	31041 	26981 	28635 	25424 	25127 	24333 	24644 	24629 	23902 	24028 	25807 	23690 	25621 	24289 
A,TOTAL,GT04,THS_T,IE	31831 	23368 	22256 	20715 	20968 	20167 	20922 	22724 	23905 	25404 	24950 	25958 	24296 	26243 	25890 
A,TOTAL,GT04,THS_T,IT	111509 	122404 	129341 	101673 	111692 	109775 	110900 	110987 	116854 	110143 	113217 	126152 	140617 	136449 	154397 
A,TOTAL,GT04,THS_T,LT	5840 	6394 	5750 	6151 	6521 	7724 	7654 	8609 	9680 	10287 	12377 	15117 	16372 	17066 	14732 
A,TOTAL,GT04,THS_T,LU	4843 	4767 	4396 	4245 	2866 	3321 	4679 	4045 	3502 	3467 	3175 	2819 	3005 	2966 	3374 
A,TOTAL,GT04,THS_T,LV	6506 	5614 	6073 	7182 	5881 	7334 	7058 	9040 	9841 	8673 	10418 	9959 	9196 	9159 	8988 
A,TOTAL,GT04,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	58 	53 	52 	47 	41 	58 	: 
A,TOTAL,GT04,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	472 	: 	: 
A,TOTAL,GT04,THS_T,NL	92962 	94167 	117372 	121654 	122375 	113171 	115360 	124106 	126420 	128539 	124811 	130810 	129793 	134873 	142762 
A,TOTAL,GT04,THS_T,NO	25679 	23147 	23220 	22113 	21051 	20424 	26171 	22182 	17849 	18330 	18955 	22552 	24159 	24925 	26944 
A,TOTAL,GT04,THS_T,PL	92442 	96961 	112596 	102191 	102115 	128852 	120669 	140160 	140386 	177968 	162395 	154529 	178505 	191053 	186869 
A,TOTAL,GT04,THS_T,PT	25538 	24017 	24647 	23102 	22570 	19644 	18985 	17693 	18779 	16468 	16359 	15423 	13228 	12563 	13332 
A,TOTAL,GT04,THS_T,RO	26519 	28856 	14980 	14026 	14926 	17123 	17512 	17955 	20650 	20462 	21245 	22762 	26319 	26972 	25598 
A,TOTAL,GT04,THS_T,SE	27194 	24090 	22676 	24649 	18868 	18553 	27561 	25380 	34017 	29285 	36787 	33967 	36091 	36421 	38123 
A,TOTAL,GT04,THS_T,SI	4357 	4043 	4523 	4731 	4626 	4810 	4667 	4819 	5225 	5146 	4877 	4913 	4711 	5326 	5097 
A,TOTAL,GT04,THS_T,SK	12348 	12099 	11831 	12469 	11957 	11509 	11349 	13693 	14433 	14988 	13598 	14195 	12385 	13775 	12618 
A,TOTAL,GT04,THS_T,UK	276822 	280494 	289838 	284404 	298163 	283819 	239637 	264240 	279501 	291611 	288207 	271971 	: 	: 	: 
A,TOTAL,GT05,THS_T,AT	1164 	1131 	921 	777 	985 	982 	971 	1213 	975 	1236 	1229 	1266 	1552 	1291 	1394 
A,TOTAL,GT05,THS_T,BE	2317 	2524 	1910 	1825 	2508 	2490 	2073 	2895 	2641 	1436 	2250 	1775 	1156 	1303 	1168 
A,TOTAL,GT05,THS_T,BG	838 	620 	507 	698 	559 	1100 	736 	776 	1197 	912 	679 	547 	1112 	770 	1204 
A,TOTAL,GT05,THS_T,CH	1287 	1076 	1055 	1077 	1259 	1398 	481 	995 	892 	658 	1212 	1127 	635 	1081 	1032 
A,TOTAL,GT05,THS_T,CY	130 	78 	65 	46 	109 	41 	35 	37 	62 	25 	35 	79 	33 	12 	20 
A,TOTAL,GT05,THS_T,CZ	2224 	2208 	2252 	2060 	1924 	2074 	1821 	1545 	1707 	2067 	1691 	1416 	2451 	2034 	2142 
A,TOTAL,GT05,THS_T,DE	13253 	11339 	11858 	10381 	9004 	8609 	8586 	8117 	7857 	8013 	7844 	7701 	5762 	6131 	6473 
A,TOTAL,GT05,THS_T,DK	772 	545 	594 	741 	664 	722 	737 	519 	546 	511 	564 	487 	633 	463 	539 
A,TOTAL,GT05,THS_T,EE	164 	141 	159 	111 	134 	207 	151 	197 	217 	184 	158 	119 	81 	26 	62 
A,TOTAL,GT05,THS_T,EL	1392 	1223 	553 	657 	781 	416 	301 	127 	288 	569 	661 	671 	528 	544 	529 
A,TOTAL,GT05,THS_T,ES	5046 	3823 	4133 	4811 	4464 	4308 	4956 	4835 	5664 	8341 	7266 	10797 	6134 	7742 	8067 
A,TOTAL,GT05,THS_T,EU27_2020	58243 	57957 	55995 	55988 	57272 	53618 	50563 	53003 	55746 	61028 	52303 	57162 	46513 	49756 	53116 
A,TOTAL,GT05,THS_T,FI	520 	997 	453 	457 	691 	479 	480 	507 	216 	544 	709 	549 	350 	502 	236 
A,TOTAL,GT05,THS_T,FR	5714 	6697 	8537 	6887 	8299 	6505 	5839 	7727 	7651 	12883 	5612 	4277 	4644 	5266 	5643 
A,TOTAL,GT05,THS_T,HR	316 	192 	207 	246 	202 	217 	285 	330 	334 	476 	443 	338 	194 	352 	271 
A,TOTAL,GT05,THS_T,HU	493 	548 	385 	654 	480 	527 	471 	772 	1785 	1362 	993 	1049 	510 	861 	501 
A,TOTAL,GT05,THS_T,IE	1078 	1032 	889 	845 	860 	1031 	745 	822 	785 	689 	747 	678 	608 	563 	488 
