freq,tra_type,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT12,THS_T,CH	874 	568 	514 	866 	450 	646 	402 	886 	521 	406 	477 	808 	592 	463 	1118 
A,TOTAL,GT12,THS_T,CY	329 	351 	276 	242 	121 	99 	80 	107 	115 	67 	148 	73 	281 	131 	212 
A,TOTAL,GT12,THS_T,CZ	9034 	7003 	10757 	12469 	12436 	13925 	15067 	18024 	16289 	22607 	21528 	22092 	15051 	18393 	17494 
A,TOTAL,GT12,THS_T,DE	82214 	68737 	66088 	72920 	75180 	79574 	84398 	84684 	94051 	94915 	95510 	96390 	72375 	75675 	75119 
A,TOTAL,GT12,THS_T,DK	1792 	1396 	1400 	1854 	1714 	1949 	1418 	1649 	1410 	1285 	1216 	1499 	1167 	1721 	1475 
A,TOTAL,GT12,THS_T,EE	349 	378 	397 	217 	146 	259 	135 	86 	271 	278 	161 	148 	114 	128 	59 
A,TOTAL,GT12,THS_T,EL	2149 	2887 	1896 	1749 	738 	630 	5408 	3898 	995 	1625 	1976 	1259 	1250 	1608 	1701 
A,TOTAL,GT12,THS_T,ES	30576 	24213 	24795 	24584 	25195 	25301 	31289 	30652 	34554 	37769 	44354 	41290 	37830 	38057 	34153 
A,TOTAL,GT12,THS_T,EU27_2020	235029 	196165 	194464 	210928 	200640 	211769 	227694 	234381 	262724 	288542 	297249 	301038 	251266 	271407 	245066 
A,TOTAL,GT12,THS_T,FI	2366 	1371 	1133 	2011 	1910 	2809 	2312 	2242 	2236 	1863 	3016 	2808 	3509 	2501 	2990 
A,TOTAL,GT12,THS_T,FR	32114 	25266 	24794 	29638 	20533 	24381 	22482 	22175 	22021 	24665 	23176 	24672 	19520 	21010 	18076 
A,TOTAL,GT12,THS_T,HR	503 	387 	469 	454 	365 	426 	419 	441 	571 	758 	888 	889 	986 	908 	912 
A,TOTAL,GT12,THS_T,HU	3079 	2347 	2495 	1816 	1476 	1775 	2223 	2113 	1975 	2159 	2481 	2887 	1616 	2490 	2203 
A,TOTAL,GT12,THS_T,IE	: 	271 	417 	415 	422 	556 	372 	658 	997 	1103 	1130 	1241 	620 	645 	762 
A,TOTAL,GT12,THS_T,IT	8600 	11127 	13139 	9220 	7310 	4962 	5201 	5929 	7161 	12631 	15116 	15874 	12596 	14681 	16563 
A,TOTAL,GT12,THS_T,LT	1851 	1207 	1249 	1484 	1412 	1574 	1846 	2190 	2730 	3311 	4555 	5681 	5132 	5338 	4718 
A,TOTAL,GT12,THS_T,LU	751 	457 	596 	551 	475 	577 	727 	570 	731 	524 	603 	557 	595 	688 	563 
A,TOTAL,GT12,THS_T,LV	455 	179 	358 	389 	364 	278 	272 	329 	265 	436 	317 	515 	173 	445 	284 
A,TOTAL,GT12,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	3 	6 	1 	8 	: 	0 	: 
A,TOTAL,GT12,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64 	: 	: 
A,TOTAL,GT12,THS_T,NL	15474 	11620 	9920 	10506 	8800 	9434 	8554 	8514 	9983 	8600 	9269 	8088 	7727 	9078 	6653 
A,TOTAL,GT12,THS_T,NO	750 	952 	1538 	1661 	1412 	1208 	1682 	1352 	2712 	2365 	1643 	1489 	2703 	1742 	5904 
A,TOTAL,GT12,THS_T,PL	18394 	19182 	16825 	20632 	21394 	22733 	21432 	21551 	32072 	33603 	31719 	35601 	36863 	35814 	27762 
A,TOTAL,GT12,THS_T,PT	4539 	3378 	3195 	2911 	2496 	2703 	2260 	2452 	3072 	2824 	3045 	2479 	1705 	2395 	2494 
A,TOTAL,GT12,THS_T,RO	4060 	2612 	2072 	1823 	2461 	2679 	3032 	2775 	3302 	4516 	5548 	7045 	6795 	7773 	9183 
A,TOTAL,GT12,THS_T,SE	5649 	2011 	1794 	2946 	2804 	3130 	3615 	5140 	6316 	7250 	11465 	8831 	7692 	11255 	4534 
A,TOTAL,GT12,THS_T,SI	2160 	1601 	2044 	1979 	1733 	1720 	2410 	2265 	2152 	2349 	3310 	3631 	3229 	2829 	2488 
A,TOTAL,GT12,THS_T,SK	2315 	3053 	3235 	4383 	4704 	4400 	7098 	6742 	7640 	10252 	7198 	8283 	7704 	6855 	6690 
A,TOTAL,GT12,THS_T,UK	34022 	27498 	29262 	29356 	30611 	22015 	25704 	28917 	37738 	32758 	35344 	29344 	: 	: 	: 
A,TOTAL,GT13,THS_T,AT	10224 	9785 	10815 	10687 	9713 	10854 	9795 	9698 	10456 	10308 	11673 	12114 	2703 	3611 	4599 
A,TOTAL,GT13,THS_T,BE	9807 	6859 	8130 	4279 	4256 	3506 	4297 	6268 	8733 	11592 	11934 	14524 	9537 	11711 	7602 
A,TOTAL,GT13,THS_T,BG	532 	615 	904 	640 	1199 	749 	986 	965 	1154 	1422 	1172 	800 	1227 	1695 	937 
A,TOTAL,GT13,THS_T,CH	1925 	2281 	2531 	2091 	2130 	1846 	2371 	2637 	2161 	1603 	2190 	1213 	1279 	1028 	1109 
A,TOTAL,GT13,THS_T,CY	104 	38 	81 	54 	21 	37 	27 	71 	75 	77 	171 	362 	175 	345 	247 
A,TOTAL,GT13,THS_T,CZ	1576 	1853 	2213 	1855 	2135 	1667 	1971 	2681 	1649 	1442 	1540 	2360 	1626 	2724 	2180 
A,TOTAL,GT13,THS_T,DE	21540 	19112 	13532 	14875 	13740 	12909 	13170 	13232 	13468 	12954 	12361 	13103 	13171 	13448 	13378 
A,TOTAL,GT13,THS_T,DK	2072 	1774 	1143 	1065 	1165 	1443 	1278 	1026 	1150 	1337 	1068 	1335 	1303 	1628 	1232 
A,TOTAL,GT13,THS_T,EE	361 	223 	216 	195 	202 	217 	192 	173 	209 	244 	270 	199 	105 	160 	173 
A,TOTAL,GT13,THS_T,EL	1242 	940 	1700 	595 	425 	249 	286 	301 	366 	593 	353 	864 	318 	600 	949 
A,TOTAL,GT13,THS_T,ES	7468 	7922 	7048 	5872 	4913 	5271 	5307 	5797 	6046 	9330 	7854 	9298 	7024 	9883 	9147 
A,TOTAL,GT13,THS_T,EU27_2020	126519 	97562 	92409 	89356 	80697 	83377 	86036 	93164 	102832 	110904 	111189 	115508 	113035 	122102 	116818 
A,TOTAL,GT13,THS_T,FI	844 	575 	980 	525 	397 	364 	422 	411 	569 	300 	516 	948 	218 	488 	375 
A,TOTAL,GT13,THS_T,FR	19783 	10519 	9835 	11067 	10846 	8425 	7687 	7807 	8780 	7084 	8708 	7676 	9364 	10653 	9484 
A,TOTAL,GT13,THS_T,HR	699 	498 	477 	449 	404 	503 	345 	460 	347 	400 	448 	454 	257 	320 	433 
A,TOTAL,GT13,THS_T,HU	785 	799 	845 	361 	447 	306 	346 	480 	1053 	822 	917 	755 	698 	984 	728 
A,TOTAL,GT13,THS_T,IE	8761 	2012 	944 	1285 	928 	1188 	1271 	943 	1400 	1401 	1769 	1710 	1456 	1518 	1180 
A,TOTAL,GT13,THS_T,IT	12076 	10471 	8072 	7635 	7242 	7582 	5375 	5874 	5144 	5709 	8182 	9890 	6402 	6716 	6003 
A,TOTAL,GT13,THS_T,LT	662 	632 	800 	870 	1121 	978 	1500 	1259 	2111 	2090 	2547 	4125 	4705 	4857 	3579 
A,TOTAL,GT13,THS_T,LU	160 	168 	254 	160 	59 	82 	144 	106 	88 	80 	70 	63 	64 	109 	41 
A,TOTAL,GT13,THS_T,LV	343 	396 	376 	399 	393 	480 	709 	909 	640 	650 	503 	515 	333 	424 	253 
A,TOTAL,GT13,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	3 	1 	10 	7 	4 	2 	: 
A,TOTAL,GT13,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	: 	: 
A,TOTAL,GT13,THS_T,NL	2493 	2269 	3116 	3275 	3304 	2304 	2433 	3336 	3772 	2443 	3205 	3565 	2900 	3073 	2885 
A,TOTAL,GT13,THS_T,NO	223 	526 	495 	638 	454 	387 	289 	235 	507 	210 	168 	494 	181 	278 	326 
A,TOTAL,GT13,THS_T,PL	8914 	9371 	12388 	14431 	11266 	15973 	17795 	19623 	21798 	25378 	19849 	16455 	33240 	29975 	32536 
A,TOTAL,GT13,THS_T,PT	6728 	4432 	1460 	1646 	1009 	1892 	2298 	1623 	1963 	2124 	2816 	1811 	2082 	2272 	2763 
A,TOTAL,GT13,THS_T,RO	5091 	1747 	981 	938 	1013 	1127 	1165 	1204 	1618 	1282 	1528 	1343 	1201 	1598 	1828 
A,TOTAL,GT13,THS_T,SE	1949 	1867 	1796 	2221 	1354 	1195 	1394 	1608 	1620 	1270 	1503 	1599 	1772 	2181 	1280 
A,TOTAL,GT13,THS_T,SI	1197 	1733 	3263 	3223 	2390 	3223 	3787 	4807 	5206 	6788 	6983 	7079 	8725 	8560 	9978 
A,TOTAL,GT13,THS_T,SK	1109 	954 	1041 	755 	757 	852 	2056 	2501 	3419 	3784 	3248 	2562 	2428 	2569 	3028 
A,TOTAL,GT13,THS_T,UK	30050 	26735 	22370 	15611 	14732 	11197 	16686 	16016 	15314 	16376 	14592 	11090 	: 	: 	: 
A,TOTAL,GT14,THS_T,AT	13135 	13293 	13364 	14051 	10415 	11040 	11876 	12208 	12872 	15966 	14624 	14029 	22576 	31930 	31375 
A,TOTAL,GT14,THS_T,BE	4366 	4342 	6008 	5010 	5975 	5932 	6358 	12004 	15903 	15356 	15519 	15987 	16338 	17995 	10563 
A,TOTAL,GT14,THS_T,BG	9145 	9913 	11535 	11693 	11151 	11835 	8122 	12755 	12774 	11304 	11376 	6696 	8841 	7349 	9642 
A,TOTAL,GT14,THS_T,CH	30898 	29129 	29251 	34586 	35212 	28832 	33827 	31621 	31631 	27718 	33983 	33289 	40431 	36909 	30672 
A,TOTAL,GT14,THS_T,CY	891 	1593 	1839 	1427 	1405 	725 	819 	776 	800 	1613 	1733 	1674 	2234 	2223 	2562 
A,TOTAL,GT14,THS_T,CZ	31528 	27182 	25566 	17247 	20257 	18586 	17924 	22647 	25727 	28551 	35485 	37343 	29480 	29940 	30771 
A,TOTAL,GT14,THS_T,DE	566860 	493874 	240599 	261753 	245998 	251342 	263051 	264664 	256091 	267500 	271166 	279574 	264899 	262461 	245974 
A,TOTAL,GT14,THS_T,DK	17450 	11697 	11486 	12336 	14999 	14519 	17303 	16596 	15677 	14764 	14316 	14927 	19384 	16933 	19225 
A,TOTAL,GT14,THS_T,EE	535 	560 	672 	432 	360 	304 	698 	490 	788 	782 	559 	616 	464 	1059 	903 
A,TOTAL,GT14,THS_T,EL	36018 	78791 	72679 	71908 	99089 	132733 	112190 	67125 	94827 	46000 	34870 	40409 	32494 	24535 	36493 
A,TOTAL,GT14,THS_T,ES	117560 	100602 	93839 	89161 	78698 	69704 	79330 	82871 	78901 	86533 	87843 	94849 	86734 	100807 	96703 
A,TOTAL,GT14,THS_T,EU27_2020	1105261 	1177716 	931141 	910653 	922104 	928540 	953340 	911257 	910591 	900337 	875470 	907536 	868590 	901750 	876012 
A,TOTAL,GT14,THS_T,FI	15310 	17610 	18820 	9956 	10228 	8060 	9968 	7463 	8636 	7899 	5853 	6044 	5826 	6080 	6664 
A,TOTAL,GT14,THS_T,FR	50976 	76943 	78600 	83678 	88769 	88017 	83738 	85920 	75937 	76165 	60546 	62469 	66863 	69942 	65826 
A,TOTAL,GT14,THS_T,HR	6207 	5388 	5696 	3114 	3697 	3255 	3594 	3085 	3105 	3253 	3196 	3175 	2680 	3235 	2943 
A,TOTAL,GT14,THS_T,HU	16013 	14073 	14892 	17024 	14766 	14732 	19526 	18782 	10878 	6749 	7201 	6538 	6948 	7967 	9258 
A,TOTAL,GT14,THS_T,IE	4210 	3252 	3472 	3849 	3363 	3192 	4178 	4190 	4940 	5085 	4077 	5804 	5465 	5470 	5108 
A,TOTAL,GT14,THS_T,IT	96394 	120370 	122030 	110226 	101095 	97237 	110165 	101220 	98886 	105404 	108202 	114892 	101057 	110342 	111293 
A,TOTAL,GT14,THS_T,LT	1143 	1308 	1235 	1010 	1181 	1379 	1895 	1745 	1474 	1967 	2124 	2077 	2101 	2162 	1508 
A,TOTAL,GT14,THS_T,LU	642 	430 	1178 	1441 	958 	1147 	1034 	728 	363 	788 	728 	993 	750 	723 	627 
A,TOTAL,GT14,THS_T,LV	2353 	1409 	2500 	2143 	2469 	2631 	2120 	2154 	2664 	2261 	2381 	2732 	3062 	2512 	3020 
A,TOTAL,GT14,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	0 	13 	27 	10 	17 	15 	: 
A,TOTAL,GT14,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	110 	: 	: 
A,TOTAL,GT14,THS_T,NL	23517 	23466 	47804 	40591 	39706 	46647 	44204 	43941 	44352 	42317 	40059 	40452 	34827 	38055 	32236 
A,TOTAL,GT14,THS_T,NO	17245 	19144 	15074 	15293 	14918 	21530 	16357 	17571 	15730 	12227 	12481 	14529 	16625 	16940 	17294 
A,TOTAL,GT14,THS_T,PL	36244 	120904 	114422 	114113 	130130 	108821 	116462 	108908 	100570 	112994 	105153 	105480 	115144 	106177 	112394 
A,TOTAL,GT14,THS_T,PT	11556 	12870 	9754 	8104 	8967 	7764 	6223 	6353 	6868 	10012 	6733 	9042 	5334 	6763 	6482 
A,TOTAL,GT14,THS_T,RO	6398 	9229 	4088 	5741 	5532 	7242 	6161 	5267 	6215 	4999 	5755 	5321 	5589 	5887 	6064 
A,TOTAL,GT14,THS_T,SE	20560 	15277 	18087 	16178 	14613 	14717 	18636 	22485 	24199 	21968 	28078 	28708 	21364 	31358 	18423 
A,TOTAL,GT14,THS_T,SI	4065 	3502 	4285 	4291 	2091 	2460 	3616 	2483 	2100 	3872 	2489 	3438 	3637 	2953 	5357 
A,TOTAL,GT14,THS_T,SK	12184 	9836 	6694 	4175 	6191 	4520 	4150 	4394 	5044 	6236 	5404 	4267 	4500 	6892 	4601 
A,TOTAL,GT14,THS_T,UK	176381 	132190 	131546 	172090 	155898 	139737 	156219 	164212 	172901 	152586 	157966 	182077 	: 	: 	: 
A,TOTAL,GT15,THS_T,AT	1031 	1011 	1065 	768 	1221 	1395 	970 	1530 	1049 	1270 	2007 	1319 	1563 	2419 	2505 
A,TOTAL,GT15,THS_T,BE	14 	39 	11 	7 	5 	14 	4 	971 	650 	1006 	820 	948 	1213 	4187 	13175 
A,TOTAL,GT15,THS_T,BG	221 	406 	228 	791 	628 	2607 	1774 	1288 	1573 	2251 	1153 	900 	535 	1194 	362 
A,TOTAL,GT15,THS_T,CH	2255 	4306 	2649 	2808 	2007 	2687 	2651 	2692 	2292 	2326 	2004 	4753 	2073 	2839 	2347 
A,TOTAL,GT15,THS_T,CY	161 	: 	1 	2 	9 	1 	1 	2 	1 	5 	15 	: 	9 	7 	18 
A,TOTAL,GT15,THS_T,CZ	4865 	3473 	5198 	4497 	4909 	4478 	4376 	5084 	5568 	5442 	7276 	7651 	10897 	10999 	9142 
A,TOTAL,GT15,THS_T,DE	: 	: 	31354 	37904 	37686 	41736 	43783 	49981 	51541 	56018 	59402 	59259 	64797 	74596 	76040 
A,TOTAL,GT15,THS_T,DK	1838 	2569 	1861 	1435 	1257 	1517 	1337 	1531 	1907 	1196 	1297 	1405 	1451 	1496 	1038 
A,TOTAL,GT15,THS_T,EE	87 	23 	223 	64 	138 	147 	193 	189 	400 	521 	360 	521 	319 	593 	432 
A,TOTAL,GT15,THS_T,EL	546 	946 	682 	1187 	1203 	967 	195 	1047 	956 	462 	4449 	2373 	1166 	767 	657 
A,TOTAL,GT15,THS_T,ES	45133 	31577 	35765 	36280 	32815 	33561 	33874 	36598 	39542 	39978 	42848 	49205 	47115 	65016 	64214 
A,TOTAL,GT15,THS_T,EU27_2020	90678 	105261 	139813 	141398 	145393 	148277 	144480 	158542 	169211 	183187 	206695 	225615 	230168 	269777 	287782 
A,TOTAL,GT15,THS_T,FI	2218 	2721 	1689 	2928 	2176 	3010 	1244 	1403 	1865 	2649 	2659 	1484 	2361 	1394 	2341 
A,TOTAL,GT15,THS_T,FR	: 	35049 	33136 	32011 	29905 	26305 	23418 	21439 	23493 	26839 	37963 	43413 	42966 	45902 	50468 
A,TOTAL,GT15,THS_T,HR	185 	70 	81 	153 	192 	160 	172 	222 	240 	278 	321 	296 	202 	219 	323 
A,TOTAL,GT15,THS_T,HU	1629 	1885 	1628 	1585 	1082 	2156 	1842 	2727 	2636 	1636 	2218 	1967 	1897 	2643 	1664 
A,TOTAL,GT15,THS_T,IE	166 	189 	65 	51 	129 	43 	108 	139 	490 	780 	1038 	774 	960 	1219 	853 
A,TOTAL,GT15,THS_T,IT	16390 	9721 	8843 	4677 	4356 	6913 	5092 	4015 	3626 	6782 	9018 	15613 	12060 	8945 	14222 
A,TOTAL,GT15,THS_T,LT	104 	106 	108 	192 	185 	194 	320 	230 	256 	593 	493 	443 	639 	629 	1255 
A,TOTAL,GT15,THS_T,LU	78 	4 	1 	93 	160 	207 	218 	102 	36 	151 	73 	88 	90 	169 	89 
A,TOTAL,GT15,THS_T,LV	48 	38 	69 	39 	63 	77 	273 	60 	199 	83 	221 	432 	643 	537 	343 
A,TOTAL,GT15,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 
A,TOTAL,GT15,THS_T,NL	: 	: 	792 	1022 	8589 	2224 	2996 	3174 	3320 	2950 	3902 	3959 	4643 	6044 	6513 
A,TOTAL,GT15,THS_T,NO	2954 	1604 	2774 	4046 	2491 	2053 	1661 	2929 	1865 	1939 	1891 	2838 	7577 	2646 	2708 
A,TOTAL,GT15,THS_T,PL	5969 	8978 	10308 	9248 	10801 	12909 	14022 	15342 	16743 	19829 	16568 	20680 	25539 	27074 	27450 
A,TOTAL,GT15,THS_T,PT	185 	427 	1210 	884 	650 	841 	1027 	969 	1116 	1244 	1254 	1807 	1366 	1850 	1242 
A,TOTAL,GT15,THS_T,RO	3855 	339 	283 	235 	293 	462 	612 	504 	992 	1226 	1487 	1366 	1186 	2001 	2136 
A,TOTAL,GT15,THS_T,SE	4575 	3405 	3709 	3957 	5110 	4817 	4895 	8668 	9365 	7720 	7224 	7087 	4237 	7154 	8501 
A,TOTAL,GT15,THS_T,SI	296 	456 	379 	337 	488 	300 	407 	343 	414 	321 	538 	451 	761 	904 	723 
A,TOTAL,GT15,THS_T,SK	1082 	1830 	1125 	1049 	1343 	1237 	1327 	986 	1237 	1957 	2093 	2175 	1554 	1815 	2076 
A,TOTAL,GT15,THS_T,UK	30809 	23372 	32699 	34386 	28908 	23098 	23438 	28201 	41910 	35900 	47356 	40652 	: 	: 	: 
A,TOTAL,GT16,THS_T,AT	7309 	6420 	7940 	8575 	7855 	7762 	7999 	8764 	9663 	9056 	9443 	8974 	3008 	5007 	5648 
A,TOTAL,GT16,THS_T,BE	4590 	3870 	2780 	2999 	3122 	3556 	3461 	3953 	5159 	5059 	7085 	4385 	5722 	5247 	5083 
A,TOTAL,GT16,THS_T,BG	772 	872 	1781 	1622 	1020 	1336 	1067 	1046 	2521 	2905 	1065 	1065 	1199 	1591 	1187 
A,TOTAL,GT16,THS_T,CH	8610 	7836 	8351 	9370 	8974 	8754 	10772 	9997 	8687 	10315 	9011 	9791 	10410 	8917 	11890 
A,TOTAL,GT16,THS_T,CY	24 	22 	45 	7 	18 	4 	11 	36 	10 	14 	52 	85 	35 	55 	50 
A,TOTAL,GT16,THS_T,CZ	7854 	6425 	7804 	6696 	6902 	7250 	9376 	10929 	11755 	12249 	11798 	10610 	9624 	10466 	9429 
A,TOTAL,GT16,THS_T,DE	96032 	89493 	72595 	73559 	75584 	80494 	86040 	90765 	91124 	89162 	89961 	90985 	88554 	88762 	85133 
A,TOTAL,GT16,THS_T,DK	2487 	1933 	2019 	2327 	1460 	2022 	1596 	1863 	1347 	1642 	1174 	1239 	1581 	1384 	1140 
A,TOTAL,GT16,THS_T,EE	694 	284 	257 	401 	321 	362 	254 	300 	238 	187 	161 	173 	238 	242 	173 
A,TOTAL,GT16,THS_T,EL	835 	661 	768 	473 	223 	136 	681 	444 	610 	359 	663 	1350 	1070 	4035 	1371 
A,TOTAL,GT16,THS_T,ES	24129 	22490 	25459 	26661 	25621 	25416 	26706 	25997 	29237 	35424 	37742 	36015 	40732 	44352 	39222 
A,TOTAL,GT16,THS_T,EU27_2020	247213 	217875 	223626 	224124 	224252 	238612 	254642 	263930 	270504 	284039 	295063 	283958 	282511 	292604 	289949 
A,TOTAL,GT16,THS_T,FI	4056 	2872 	3827 	1743 	1590 	1701 	1217 	925 	1096 	1599 	1115 	1273 	1148 	1342 	1397 
A,TOTAL,GT16,THS_T,FR	18453 	13704 	18953 	16684 	15020 	14847 	15231 	15235 	8945 	11206 	12951 	10716 	10142 	10947 	13736 
A,TOTAL,GT16,THS_T,HR	1131 	1014 	934 	854 	1209 	994 	943 	1017 	1058 	1167 	994 	1282 	1145 	1077 	1264 
A,TOTAL,GT16,THS_T,HU	4771 	5279 	5032 	4354 	4715 	4197 	5121 	6081 	2582 	2962 	3261 	2420 	2798 	1871 	1647 
A,TOTAL,GT16,THS_T,IE	1343 	1243 	1480 	1114 	1281 	1076 	1328 	926 	953 	1353 	1113 	1225 	1117 	1009 	1276 
A,TOTAL,GT16,THS_T,IT	21475 	15332 	13448 	13614 	13323 	11918 	9402 	9604 	11755 	13123 	16646 	15721 	13713 	13784 	12849 
A,TOTAL,GT16,THS_T,LT	788 	633 	593 	508 	552 	613 	631 	859 	1539 	1313 	901 	779 	830 	943 	501 
A,TOTAL,GT16,THS_T,LU	1459 	1229 	1045 	673 	818 	745 	2020 	1215 	1175 	858 	879 	1068 	1229 	2133 	2555 
A,TOTAL,GT16,THS_T,LV	274 	298 	193 	361 	433 	299 	436 	610 	601 	523 	644 	698 	1125 	1030 	1239 
A,TOTAL,GT16,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 
A,TOTAL,GT16,THS_T,NL	18513 	16433 	17451 	18414 	18130 	31469 	34943 	35350 	38330 	39235 	35859 	37901 	39561 	42903 	43777 
A,TOTAL,GT16,THS_T,NO	3291 	2564 	4670 	4196 	2427 	3309 	3089 	3136 	1299 	1448 	1439 	1650 	1567 	2228 	2034 
A,TOTAL,GT16,THS_T,PL	12384 	11835 	14786 	14705 	18486 	18210 	17276 	17822 	20683 	22452 	26202 	24424 	25863 	21179 	37043 
A,TOTAL,GT16,THS_T,PT	4923 	4194 	3423 	4109 	3693 	4747 	3750 	3199 	2902 	3860 	3016 	2664 	3065 	2045 	2121 
A,TOTAL,GT16,THS_T,RO	1819 	2023 	1187 	797 	968 	959 	1056 	832 	840 	1032 	916 	1301 	1434 	1722 	1091 
A,TOTAL,GT16,THS_T,SE	6993 	5123 	16277 	18985 	16622 	14388 	18973 	20731 	19940 	21131 	24491 	22202 	22924 	24793 	16642 
A,TOTAL,GT16,THS_T,SI	1057 	1058 	807 	745 	514 	610 	615 	784 	762 	737 	937 	1107 	1054 	1066 	926 
A,TOTAL,GT16,THS_T,SK	3050 	3132 	2743 	3143 	4773 	3502 	4509 	4644 	5679 	5432 	5997 	4296 	3601 	3618 	3447 
A,TOTAL,GT16,THS_T,UK	: 	: 	: 	29045 	36733 	27783 	28845 	35068 	34740 	35345 	27955 	20116 	: 	: 	: 
A,TOTAL,GT17,THS_T,AT	8059 	7085 	6335 	6867 	6596 	6217 	6618 	7018 	7274 	6167 	6956 	7170 	1991 	2421 	2308 
A,TOTAL,GT17,THS_T,BE	751 	793 	902 	893 	1512 	1120 	1130 	474 	992 	1314 	857 	1503 	556 	959 	1433 
A,TOTAL,GT17,THS_T,BG	1017 	470 	140 	546 	477 	476 	405 	112 	132 	47 	49 	173 	39 	17 	48 
A,TOTAL,GT17,THS_T,CH	5876 	6071 	6128 	8348 	6895 	7701 	9172 	7729 	6494 	8919 	8320 	8984 	8237 	7862 	6183 
A,TOTAL,GT17,THS_T,CY	185 	122 	103 	107 	90 	33 	46 	28 	159 	65 	156 	219 	4 	101 	248 
A,TOTAL,GT17,THS_T,CZ	74 	97 	207 	172 	169 	116 	113 	132 	106 	189 	219 	141 	24 	102 	159 
A,TOTAL,GT17,THS_T,DE	23064 	21736 	33188 	57678 	63715 	66109 	73647 	72357 	78814 	77852 	86436 	86361 	85416 	81159 	83798 
A,TOTAL,GT17,THS_T,DK	893 	773 	890 	447 	510 	652 	470 	654 	434 	407 	209 	255 	476 	138 	367 
A,TOTAL,GT17,THS_T,EE	109 	9 	39 	219 	18 	15 	30 	42 	92 	25 	280 	48 	61 	20 	80 
A,TOTAL,GT17,THS_T,EL	548 	1452 	2130 	1015 	1241 	924 	585 	1093 	2005 	2954 	1013 	1004 	866 	720 	496 
A,TOTAL,GT17,THS_T,ES	477 	845 	1045 	1028 	1276 	1587 	1451 	1925 	2011 	2179 	2375 	2739 	1854 	2016 	2309 
A,TOTAL,GT17,THS_T,EU27_2020	55943 	71466 	76018 	106520 	106802 	104717 	111379 	115977 	123091 	125132 	117117 	122022 	111583 	110758 	110481 
A,TOTAL,GT17,THS_T,FI	4469 	5064 	5827 	11332 	6448 	3200 	1427 	3909 	2465 	3454 	3903 	1962 	1206 	3035 	1725 
A,TOTAL,GT17,THS_T,FR	2031 	17192 	19683 	19706 	18333 	17041 	18655 	21799 	21799 	23334 	6451 	11397 	12531 	13984 	8933 
A,TOTAL,GT17,THS_T,HR	106 	11 	13 	29 	12 	7 	3 	1 	7 	30 	24 	53 	119 	41 	42 
A,TOTAL,GT17,THS_T,HU	164 	88 	67 	139 	89 	134 	59 	117 	179 	87 	56 	96 	20 	79 	61 
A,TOTAL,GT17,THS_T,IE	: 	277 	122 	116 	136 	185 	224 	386 	466 	724 	1189 	1235 	1204 	1141 	936 
A,TOTAL,GT17,THS_T,IT	2409 	2924 	1915 	1108 	1312 	2290 	848 	616 	1334 	1009 	1349 	905 	598 	572 	893 
A,TOTAL,GT17,THS_T,LT	106 	123 	207 	287 	235 	329 	146 	20 	26 	10 	19 	10 	1 	16 	116 
A,TOTAL,GT17,THS_T,LU	63 	49 	45 	62 	80 	77 	85 	57 	69 	54 	71 	61 	51 	62 	118 
A,TOTAL,GT17,THS_T,LV	91 	66 	78 	20 	86 	30 	117 	56 	102 	55 	64 	28 	61 	53 	41 
A,TOTAL,GT17,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	2 	3 	: 
A,TOTAL,GT17,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 
A,TOTAL,GT17,THS_T,NL	9816 	10436 	547 	434 	400 	485 	463 	680 	527 	560 	571 	755 	531 	593 	443 
A,TOTAL,GT17,THS_T,NO	1655 	1684 	1500 	2066 	1332 	948 	1224 	1054 	1354 	2806 	3608 	3208 	2253 	2439 	2261 
A,TOTAL,GT17,THS_T,PL	87 	371 	1180 	2441 	2752 	1974 	2885 	2499 	2368 	2144 	2152 	2645 	2083 	1846 	4028 
A,TOTAL,GT17,THS_T,PT	128 	109 	262 	144 	162 	180 	329 	294 	172 	414 	224 	154 	97 	133 	218 
A,TOTAL,GT17,THS_T,RO	201 	344 	319 	709 	194 	223 	340 	257 	271 	310 	397 	389 	410 	264 	152 
A,TOTAL,GT17,THS_T,SE	851 	947 	640 	881 	843 	1171 	1144 	1307 	1168 	1617 	1845 	2469 	1311 	1213 	1386 
A,TOTAL,GT17,THS_T,SI	87 	39 	76 	83 	76 	58 	45 	31 	72 	18 	37 	64 	25 	34 	73 
